cliCod;FisJur;age;tasaeol;tasaius;debaut;score
307505;PF;59   ;[>15 años];NULL;N;7.5
307557;PF;>=64 ;[>15 años];NULL;N;7.5
307559;PF;>=64 ;[>15 años];NULL;N;9.5
307649;PF;>=64 ;[>15 años];NULL;N;7.3
307668;PJ;ND   ;[>15 años];NULL;N;6.0
307845;PF;>=64 ;[4 años];NULL;S;10.5
307872;PJ;ND   ;[>15 años];NULL;N;7.8
307998;PJ;ND   ;[>15 años];NULL;N;7.0
308026;PJ;ND   ;[>15 años];NULL;S;10.8
308046;PJ;ND   ;[>15 años];NULL;N;8.8
308133;PF;<=25 ;[>15 años];NULL;N;9.6
308156;PF;>=64 ;[>15 años];NULL;S;8.5
308225;PF;>=64 ;[>15 años];NULL;S;13.5
308228;PF;56   ;[>15 años];NULL;N;7.8
308233;PF;>=64 ;[>15 años];NULL;S;11.8
308244;PJ;ND   ;[>15 años];NULL;N;9.5
308246;PF;56   ;[>15 años];NULL;N;8.3
308258;PF;63   ;[>15 años];NULL;N;8.5
308266;PF;>=64 ;[>15 años];NULL;N;11.5
308341;PF;56   ;[>15 años];NULL;N;10.5
308373;PF;59   ;[>15 años];NULL;S;13.7
308410;PF;59   ;[>15 años];NULL;N;8.0
308433;PJ;ND   ;[>15 años];NULL;N;9.0
308499;PF;>=64 ;[>15 años];NULL;S;8.0
308505;PF;>=64 ;NULL;NULL;N;8.1
308526;PJ;ND   ;[>15 años];NULL;S;10.0
308586;PJ;ND   ;[>15 años];NULL;N;6.5
308591;PF;53   ;[>15 años];NULL;N;10.0
308644;PF;>=64 ;[>15 años];NULL;N;8.5
308727;PF;>=64 ;[>15 años];NULL;S;11.0
308751;PF;58   ;[>15 años];NULL;N;10.8
308760;PJ;ND   ;[>15 años];NULL;N;6.5
308761;PF;60   ;[>15 años];NULL;N;8.5
308769;PJ;ND   ;[>15 años];NULL;N;5.5
308771;PJ;ND   ;[>15 años];NULL;N;6.7
308774;PF;>=64 ;[>15 años];NULL;S;10.6
308782;PF;57   ;[>15 años];NULL;N;12.0
308798;PF;58   ;[>15 años];NULL;S;9.5
308805;PF;57   ;[>15 años];NULL;S;9.0
308846;PF;>=64 ;[>15 años];NULL;N;9.5
308855;PF;57   ;[>15 años];NULL;S;11.0
308856;PF;59   ;[>15 años];NULL;N;8.7
308914;PJ;ND   ;[>15 años];NULL;N;6.3
308926;PF;59   ;[>15 años];NULL;N;10.5
308932;PF;>=64 ;[>15 años];NULL;N;9.0
308935;PJ;ND   ;[>15 años];NULL;N;6.5
308963;PF;>=64 ;[>15 años];NULL;N;9.5
308991;PF;>=64 ;[>15 años];NULL;N;8.0
309002;PF;50   ;[>15 años];NULL;N;9.8
309006;PF;56   ;NULL;NULL;NULL;9.5
309100;PJ;ND   ;[>15 años];NULL;N;8.5
309118;PF;54   ;[>15 años];NULL;N;7.3
309121;PF;>=64 ;[>15 años];NULL;S;7.0
309143;PF;>=64 ;[>15 años];NULL;N;7.5
309152;PF;55   ;[>15 años];NULL;N;7.8
309170;PF;55   ;[12 años];NULL;S;10.5
309191;PF;56   ;[>15 años];NULL;N;8.5
309232;PJ;ND   ;[>15 años];NULL;N;8.6
309303;PJ;ND   ;[>15 años];NULL;S;6.3
309321;PJ;ND   ;[>15 años];NULL;N;8.5
309339;PF;58   ;[>15 años];NULL;N;8.0
309340;PF;56   ;[>15 años];NULL;S;9.0
309406;PJ;ND   ;[>15 años];NULL;N;6.0
309450;PF;56   ;[>15 años];NULL;S;8.5
309487;PJ;ND   ;[>15 años];NULL;N;6.0
309492;PJ;ND   ;[>15 años];NULL;N;7.5
309497;PF;49   ;[>15 años];NULL;N;11.2
309507;PF;>=64 ;[>15 años];NULL;S;9.5
309519;PF;54   ;[>15 años];NULL;S;10.2
309521;PJ;ND   ;[>15 años];NULL;N;10.0
309524;PF;50   ;[>15 años];NULL;S;11.8
309589;PF;57   ;[>15 años];NULL;N;11.0
309592;PF;60   ;[14 años];NULL;S;10.0
309625;PJ;ND   ;[>15 años];NULL;NULL;5.0
309628;PF;>=64 ;[>15 años];NULL;N;8.5
309642;PJ;ND   ;[>15 años];NULL;N;12.5
309669;PF;56   ;[>15 años];NULL;S;13.5
309687;PJ;ND   ;[>15 años];NULL;N;7.0
309721;PJ;ND   ;[>15 años];NULL;N;8.5
309732;PF;29   ;[>15 años];NULL;N;9.0
309762;PF;>=64 ;[>15 años];NULL;N;7.5
309774;PF;55   ;[>15 años];NULL;N;9.5
309799;PF;52   ;[>15 años];[10 años];S;11.1
309861;PF;>=64 ;[>15 años];NULL;N;9.8
309865;PF;49   ;[>15 años];NULL;N;6.5
309898;PJ;ND   ;[>15 años];NULL;N;8.0
309901;PJ;ND   ;[>15 años];NULL;N;3.5
309905;PF;59   ;[>15 años];NULL;S;9.5
309911;PJ;ND   ;[7 años];NULL;N;9.5
309917;PJ;ND   ;[>15 años];NULL;S;10.8
310024;PF;>=64 ;[>15 años];NULL;S;10.0
310071;PF;>=64 ;[>15 años];NULL;N;11.0
310074;PF;60   ;[>15 años];NULL;S;8.5
310099;PF;<=25 ;[>15 años];NULL;N;8.0
310109;PF;32   ;[>15 años];NULL;N;9.5
310165;PF;54   ;[>15 años];NULL;N;8.2
310176;PF;37   ;[>15 años];NULL;S;10.0
310280;PF;43   ;[>15 años];NULL;S;9.5
310290;PF;>=64 ;[>15 años];NULL;S;7.5
310358;PJ;ND   ;[>15 años];NULL;N;6.8
310369;PJ;ND   ;[>15 años];NULL;N;10.0
310381;PF;55   ;[>15 años];NULL;N;12.0
310400;PJ;ND   ;[>15 años];NULL;N;6.5
310421;PF;>=64 ;[>15 años];NULL;S;11.5
310422;PF;59   ;[>15 años];NULL;S;12.0
310451;PF;56   ;[>15 años];NULL;N;10.0
310455;PF;56   ;[>15 años];NULL;N;10.5
310462;PJ;ND   ;[>15 años];NULL;N;5.0
310488;PJ;ND   ;[>15 años];NULL;N;9.0
310494;PF;>=64 ;[>15 años];NULL;S;11.8
310602;PJ;ND   ;[>15 años];NULL;N;7.3
310618;PF;54   ;[>15 años];NULL;N;9.0
310734;PF;54   ;[>15 años];NULL;N;7.5
310736;PF;59   ;[>15 años];NULL;N;8.3
310766;PJ;ND   ;[>15 años];NULL;N;10.3
310835;PF;>=64 ;[>15 años];NULL;N;13.9
310868;PJ;ND   ;[>15 años];NULL;S;9.0
310908;PF;54   ;[>15 años];NULL;S;9.3
311033;PJ;ND   ;[>15 años];NULL;N;6.5
311148;PF;>=64 ;[>15 años];NULL;N;9.0
311198;PJ;ND   ;[>15 años];NULL;N;8.0
311202;PF;55   ;[>15 años];NULL;N;8.0
311235;PF;53   ;[>15 años];NULL;N;7.3
311304;PF;56   ;[>15 años];NULL;N;8.5
311334;PJ;ND   ;[>15 años];NULL;N;6.8
311352;PF;53   ;[>15 años];NULL;S;8.0
311387;PF;59   ;[>15 años];NULL;N;8.5
311457;PF;>=64 ;[>15 años];NULL;S;14.3
311556;PF;60   ;[>15 años];NULL;N;8.7
311560;PF;>=64 ;[>15 años];NULL;N;8.8
311570;PF;38   ;[7 años];NULL;S;12.5
311603;PF;53   ;[>15 años];NULL;S;10.3
311615;PF;55   ;[>15 años];NULL;N;8.0
311636;PJ;ND   ;[>15 años];NULL;N;6.5
311691;PF;59   ;[15 años];NULL;N;8.5
311709;PF;48   ;[>15 años];NULL;N;8.8
311711;PF;41   ;[>15 años];NULL;N;10.0
311758;PF;50   ;[>15 años];NULL;N;9.0
311784;PF;>=64 ;[>15 años];NULL;N;7.0
311804;PJ;ND   ;[>15 años];NULL;N;9.8
311844;PF;53   ;[>15 años];NULL;N;11.0
311912;PF;<=25 ;[>15 años];NULL;N;9.5
311959;PF;60   ;[>15 años];NULL;N;10.5
311987;PF;>=64 ;[>15 años];NULL;N;9.5
312000;PJ;ND   ;[>15 años];NULL;N;6.8
312018;PJ;ND   ;[>15 años];NULL;S;7.3
312022;PF;43   ;[14 años];NULL;S;6.5
312040;PJ;ND   ;[>15 años];NULL;N;7.5
312081;PF;49   ;[>15 años];NULL;N;8.0
312110;PF;51   ;[>15 años];NULL;S;10.0
312142;PF;57   ;[>15 años];NULL;N;7.5
312155;PF;58   ;[>15 años];NULL;S;14.0
312160;PF;>=64 ;[>15 años];NULL;N;9.8
312163;PJ;ND   ;[>15 años];NULL;N;5.8
312176;PF;61   ;[>15 años];NULL;S;8.0
312184;PF;56   ;[>15 años];NULL;N;9.8
312207;PF;56   ;[>15 años];NULL;S;11.6
312225;PF;>=64 ;[>15 años];NULL;N;9.3
312227;PF;41   ;[>15 años];NULL;N;8.5
312235;PJ;ND   ;[>15 años];NULL;N;6.5
312248;PF;>=64 ;[>15 años];NULL;N;8.0
312271;PJ;ND   ;[>15 años];NULL;N;5.9
312359;PF;60   ;[>15 años];NULL;N;8.5
312391;PF;53   ;[>15 años];NULL;N;7.5
312409;PF;55   ;[>15 años];[10 años];N;12.3
312414;PF;59   ;[>15 años];NULL;N;9.8
312425;PJ;ND   ;[>15 años];NULL;N;6.0
312447;PF;58   ;[14 años];NULL;S;11.5
312471;PF;60   ;[>15 años];NULL;S;8.0
312496;PF;53   ;[>15 años];NULL;N;7.3
312514;PJ;ND   ;[>15 años];NULL;N;6.8
312531;PF;54   ;[>15 años];NULL;N;14.5
312547;PF;54   ;[>15 años];NULL;S;9.0
312558;PF;55   ;[>15 años];NULL;N;8.5
312642;PJ;ND   ;[12 años];NULL;N;9.5
312644;PF;>=64 ;[>15 años];NULL;S;10.6
312653;PF;55   ;[>15 años];NULL;N;9.3
312752;PF;53   ;[>15 años];NULL;N;10.0
312782;PF;58   ;[>15 años];NULL;N;10.0
312826;PJ;ND   ;[>15 años];NULL;N;6.6
312852;PF;56   ;[>15 años];NULL;N;9.7
312928;PJ;ND   ;[>15 años];NULL;S;8.5
312948;PF;55   ;[>15 años];NULL;N;8.2
312979;PF;>=64 ;[>15 años];NULL;N;9.5
312991;PF;61   ;[>15 años];NULL;N;12.5
312993;PJ;ND   ;[>15 años];NULL;N;8.0
313115;PF;55   ;[>15 años];NULL;N;8.0
313204;PJ;ND   ;[>15 años];NULL;N;8.8
313237;PJ;ND   ;[>15 años];NULL;S;11.0
313270;PF;54   ;[>15 años];NULL;N;9.3
313282;PJ;ND   ;[>15 años];NULL;S;9.0
313317;PJ;ND   ;[>15 años];NULL;S;10.8
313320;PJ;ND   ;[>15 años];NULL;N;6.3
313338;PF;60   ;[>15 años];NULL;S;8.0
313365;PF;>=64 ;[>15 años];NULL;S;8.8
313375;PF;55   ;[>15 años];NULL;N;8.0
313382;PF;58   ;[>15 años];NULL;N;10.3
313396;PF;60   ;[>15 años];NULL;N;8.0
313429;PJ;ND   ;[>15 años];NULL;S;5.3
313499;PJ;ND   ;[>15 años];NULL;N;6.8
313501;PF;42   ;[>15 años];NULL;S;10.5
313506;PF;56   ;[>15 años];NULL;N;8.5
313525;PF;>=64 ;[>15 años];NULL;N;6.8
313526;PF;>=64 ;[>15 años];NULL;N;7.8
313553;PJ;ND   ;[>15 años];NULL;N;8.0
313560;PF;>=64 ;[>15 años];NULL;S;9.0
313564;PF;>=64 ;[>15 años];NULL;N;9.3
313573;PF;59   ;[>15 años];NULL;S;13.9
313611;PF;59   ;[>15 años];NULL;N;9.5
313617;PF;>=64 ;[>15 años];NULL;N;8.0
313624;PJ;ND   ;[>15 años];NULL;N;8.7
313704;PF;58   ;[>15 años];NULL;S;12.5
313755;PF;>=64 ;[>15 años];[5 años];S;9.3
313788;PF;56   ;[>15 años];NULL;S;10.0
313805;PJ;ND   ;[>15 años];NULL;S;9.0
313816;PF;<=25 ;[>15 años];NULL;N;9.0
313843;PJ;ND   ;[>15 años];NULL;S;8.3
313862;PJ;ND   ;[>15 años];NULL;N;5.5
313974;PF;47   ;[>15 años];NULL;N;7.0
313981;PJ;ND   ;[>15 años];NULL;N;7.8
314003;PF;58   ;[>15 años];NULL;N;8.5
314005;PF;56   ;[>15 años];NULL;N;10.7
314045;PF;>=64 ;[>15 años];NULL;N;8.8
314108;PJ;ND   ;[>15 años];NULL;N;8.8
314168;PF;53   ;[>15 años];NULL;N;11.7
314171;PF;43   ;[>15 años];NULL;S;9.5
314205;PJ;ND   ;[>15 años];NULL;N;5.8
314251;PF;>=64 ;[>15 años];NULL;N;7.5
314276;PF;60   ;[>15 años];NULL;N;11.5
314303;PJ;ND   ;[>15 años];NULL;S;7.5
314335;PF;61   ;[>15 años];NULL;N;8.8
314386;PF;55   ;[>15 años];NULL;S;11.8
314403;PF;>=64 ;[>15 años];NULL;N;8.8
314423;PF;59   ;[>15 años];NULL;S;12.8
314452;PF;56   ;[>15 años];NULL;N;9.8
314459;PF;>=64 ;[>15 años];NULL;N;11.0
314483;PJ;ND   ;[>15 años];NULL;N;7.8
314488;PF;56   ;[>15 años];NULL;N;11.0
314499;PF;57   ;[>15 años];NULL;N;10.5
314501;PF;50   ;[>15 años];NULL;N;7.5
314512;PF;55   ;[>15 años];NULL;S;11.5
314517;PF;>=64 ;[>15 años];NULL;S;7.5
314518;PF;60   ;[>15 años];NULL;N;7.5
314569;PF;50   ;[>15 años];NULL;N;6.5
314610;PF;56   ;[>15 años];NULL;N;8.5
314621;PF;49   ;[>15 años];NULL;N;9.0
314685;PF;>=64 ;[>15 años];NULL;N;7.5
314715;PF;>=64 ;[>15 años];NULL;N;9.0
314723;PF;>=64 ;[>15 años];NULL;N;7.5
314726;PF;60   ;[>15 años];NULL;S;11.8
314730;PF;>=64 ;[>15 años];NULL;N;8.0
314738;PF;>=64 ;[>15 años];NULL;N;10.5
314773;PF;58   ;[>15 años];NULL;N;8.0
314779;PF;>=64 ;[>15 años];NULL;N;9.0
314785;PJ;ND   ;[>15 años];NULL;S;9.0
314818;PF;>=64 ;[>15 años];NULL;S;7.5
314843;PF;>=64 ;[>15 años];NULL;N;8.0
314844;PF;>=64 ;[>15 años];NULL;N;7.2
314851;PF;56   ;[>15 años];NULL;S;11.5
314865;PF;57   ;[>15 años];NULL;N;10.5
314868;PJ;ND   ;[>15 años];NULL;S;6.8
314877;PF;57   ;[>15 años];NULL;N;9.5
314890;PF;61   ;[>15 años];NULL;S;7.5
314895;PF;53   ;[>15 años];NULL;S;11.8
314944;PF;>=64 ;[>15 años];NULL;N;8.5
314947;PJ;ND   ;[>15 años];NULL;N;6.8
314948;PF;35   ;[>15 años];NULL;N;10.9
314977;PF;56   ;[>15 años];NULL;S;8.5
314980;PF;54   ;[>15 años];NULL;N;10.0
315027;PF;56   ;[>15 años];NULL;N;8.5
315031;PF;57   ;[>15 años];NULL;N;11.5
315038;PF;49   ;[>15 años];NULL;S;11.0
315072;PF;53   ;[>15 años];NULL;N;10.3
315098;PF;57   ;[>15 años];NULL;S;8.5
315113;PF;59   ;[>15 años];NULL;S;10.8
315155;PF;>=64 ;[>15 años];NULL;S;8.0
315183;PJ;ND   ;[>15 años];NULL;N;8.8
315184;PJ;ND   ;[>15 años];NULL;N;6.2
315185;PJ;ND   ;[>15 años];NULL;N;8.0
315208;PF;58   ;[>15 años];NULL;N;10.0
315221;PJ;ND   ;[>15 años];NULL;N;6.5
315244;PF;57   ;[>15 años];NULL;S;9.5
315246;PF;57   ;[>15 años];NULL;N;8.5
315263;PF;54   ;[>15 años];NULL;N;5.0
315284;PF;47   ;[>15 años];NULL;N;9.7
315291;PF;57   ;[>15 años];NULL;N;10.3
315300;PF;49   ;[>15 años];[10 años];N;9.8
315307;PF;60   ;[>15 años];NULL;N;9.5
315322;PF;52   ;[>15 años];NULL;N;8.4
315327;PF;48   ;[>15 años];NULL;N;12.0
315394;PF;50   ;[>15 años];NULL;N;7.6
315398;PJ;ND   ;[>15 años];NULL;N;7.0
315408;PF;50   ;[>15 años];NULL;N;9.0
315411;PF;56   ;[>15 años];NULL;N;9.5
315413;PF;60   ;[>15 años];NULL;N;10.0
315443;PF;53   ;[>15 años];NULL;S;8.0
315449;PF;58   ;[>15 años];NULL;N;10.0
315450;PF;36   ;[>15 años];NULL;N;9.5
315473;PF;>=64 ;[>15 años];NULL;S;11.8
315499;PF;50   ;[>15 años];NULL;S;10.0
